Discipline,HPSA ID,HPSA Name,Designation Type,State,County Name,HPSA Score,Status,Rural Status,Record Type,Site Address,Site City,Site ZIP
Dental Health,654999548B,TYGART VALLEY TOTAL CARE CENTER,Rural Health Clinic,West Virginia,Taylor,17,Designated,Rural,Site,1 Hospital Plz,Grafton,26354-1283
Primary Care,154999540U,CHANGE INC,Federally Qualified Health Center,West Virginia,Hancock,17,Designated,Non-Rural,Site,3158 West St,Weirton,26062-4697
Primary Care,1549995479,COMMUNITY HEALTH SYSTEMS INC,Federally Qualified Health Center,West Virginia,Raleigh,16,Designated,Non-Rural,Site,1731 Harper Rd,Beckley,25801-3311
Mental Health,7549995424,COMMUNITY HEALTH SYSTEMS INC,Federally Qualified Health Center,West Virginia,Raleigh,16,Designated,Non-Rural,Site,1731 Harper Rd,Beckley,25801-3311
Dental Health,6549995449,COMMUNITY HEALTH SYSTEMS INC,Federally Qualified Health Center,West Virginia,Raleigh,16,Designated,Non-Rural,Site,1731 Harper Rd,Beckley,25801-3311
Primary Care,1549995466,TUG RIVER HEALTH ASSOCIATION INC,Federally Qualified Health Center,West Virginia,McDowell,23,Designated,Rural,Site,950 Mt View High School Rd,Welch,24801-2810
Primary Care,1549995485,BLUESTONE HEALTH ASSOCIATION INC,Federally Qualified Health Center,West Virginia,Mercer,23,Designated,Rural,Site,106 Thorn St,Princeton,24740-3560
Primary Care,1549995493,VALLEY HEALTH CARE INC,Federally Qualified Health Center,West Virginia,Randolph,15,Designated,Rural,Site,505 Main St,Beverly,26253-9621
Primary Care,1546383668,BOONE MEMORIAL HOSPITAL FAMILY MEDICAL CENTER,Rural Health Clinic,West Virginia,Boone,20,Designated,Rural,Site,697 Madison Ave,Madison,25130-1621
Mental Health,7545290180,BOONE MEMORIAL HOSPITAL FAMILY MEDICAL CENTER,Rural Health Clinic,West Virginia,Boone,18,Designated,Rural,Site,697 Madison Ave,Madison,25130-1621
