ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
CENTER MCMECHEN ELEMENTARY SCHOOL,West Virginia,5400597,Center McMechen Elementary School,Marshall County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,160,161,197,189,204,217,227,249,250,249,227,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,130,147,147,194,126,146,116
CENTRAL CITY ELEMENTARY SCHOOL,West Virginia,5400938,Central City Elementary School,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,408,419,407,413,439,485,526,543,502,512,538,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,358,459,459,485,393,421,403
CENTRAL ELEMENTARY SCHOOL,West Virginia,5400370,Central Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,304,322,333,353,351,392,387,399,389,383,412,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,202,216,216,200,147,159,136
CENTRAL ELEMENTARY SCHOOL,West Virginia,5400590,Central Elementary School,Marshall County,31-Town: Fringe,31-Town: Fringe,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,260,258,279,305,295,292,284,294,305,303,280,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,189,187,187,205,181,205,153
CENTRAL PRESTON MIDDLE SCHOOL,West Virginia,5400903,Central Preston Middle School,Preston County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,290,310,322,325,327,332,332,336,328,335,245,–,–,–,–,–,–,–,–,–,140,94,–,–,–,–,–,–,–,–,–,19,20,–,–,–,–,150,164,164,160,125,159,114
CEREDO ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,†,†,†,†,†,199,182,210,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,70,84,84
CEREDO-KENOVA ELEMENTARY,WEST VIRGINIA,5401580,Ceredo-Kenova Elementary,Wayne County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,632,621,635,631,617,656,628,639,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,–,–,–,276,326,326,334,†,†,†
CEREDO-KENOVA MIDDLE SCHOOL,West Virginia,5401293,Ceredo-Kenova Middle School,Wayne County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,263,271,262,255,282,246,225,233,259,265,258,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,141,95,95,118,83,115,92
CHAMBERLAIN ELEMENTARY SCHOOL,West Virginia,5400371,Chamberlain Elementary School,Kanawha County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,225,216,213,213,203,200,191,224,219,257,248,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,121,113,113,116,81,127,108
CHAPMANVILLE EAST ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,†,†,†,291,285,300,311,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,155,136,145,121
CHAPMANVILLE INTERMEDIATE SCHOOL,WEST VIRGINIA,5401590,Chapmanville Intermediate School,Logan County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,289,291,306,298,330,351,351,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,180,162,162,†,†,†,†
CHAPMANVILLE MIDDLE SCHOOL,West Virginia,5400729,Chapmanville Middle School,Logan County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,485,520,524,534,583,577,576,598,587,603,620,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,290,288,288,334,230,266,232
CHAPMANVILLE PRIMARY SCHOOL,WEST VIRGINIA,5401589,Chapmanville Primary School,Logan County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,241,263,285,282,261,310,309,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,143,160,160,†,†,†,†
CHAPMANVILLE REGIONAL HIGH SCHOOL,West Virginia,5400508,Chapmanville Regional High School,Logan County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,645,666,721,705,682,703,730,730,709,694,693,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,344,370,370,358,253,290,253
CHARLES TOWN MIDDLE SCHOOL,West Virginia,5400341,Charles Town Middle School,Jefferson County,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,603,631,637,707,666,654,638,669,668,696,686,–,–,–,–,–,–,–,–,170,225,183,–,–,–,–,–,–,–,–,24,29,45,–,–,–,–,243,260,259,252,194,254,228
CHEAT LAKE ELEMENTARY SCHOOL,West Virginia,5400073,Cheat Lake Elementary School,Monongalia County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,754,769,770,788,744,835,830,850,854,846,851,–,–,–,–,–,–,–,–,157,166,167,–,–,–,–,–,–,–,–,21,22,31,–,–,–,–,157,197,197,186,178,188,198
CHERRY RIVER ELEMENTARY SCHOOL,West Virginia,5401263,Cherry River Elementary School,Nicholas County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,152,155,151,172,188,197,212,210,218,211,221,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,127,127,156,115,115,118
CHESAPEAKE ELEMENTARY SCHOOL,West Virginia,5400375,Chesapeake Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,205,118,115,112,114,128,153,155,164,183,168,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,89,102,102,86,91,99,85
CLARKSBURG CLASSICAL ACADEMY,WEST VIRGINIA,5401623,Clarksburg Classical Academy,Harrison County,32-Town: Distant,†,†,†,†,†,†,†,†,†,†,56,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†
CLAY COUNTY HIGH SCHOOL,West Virginia,5400147,Clay County High School,Clay County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,520,534,533,542,523,503,541,547,522,551,539,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,270,321,321,340,285,237,308
CLAY ELEMENTARY SCHOOL,West Virginia,5400148,Clay Elementary School,Clay County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,431,361,314,314,343,391,410,457,486,527,540,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,236,304,304,351,340,287,362
CLAY MIDDLE SCHOOL,West Virginia,5400030,Clay Middle School,Clay County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,302,344,413,415,438,428,423,411,422,438,422,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,248,281,281,299,266,232,237
CLAY-BATTELLE HIGH SCHOOL,West Virginia,5400769,Clay-Battelle High School,Monongalia County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,332,346,341,340,364,393,387,404,401,410,429,–,–,–,–,–,–,–,–,136,138,112,–,–,–,–,–,–,–,–,39,26,39,–,–,–,–,143,185,185,190,175,164,151
CLEAR FORK DISTRICT ELEMENTARY,West Virginia,5400945,Clear Fork District Elementary,Raleigh County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,94,99,99,92,97,116,135,141,144,153,152,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66,91,91,101,91,83,70
CLENDENIN ELEMENTARY SCHOOL,West Virginia,5400376,Clendenin Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,335,322,300,308,225,242,256,280,292,353,360,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,141,156,156,171,160,177,181
COAL CITY ELEMENTARY,West Virginia,5400947,Coal City Elementary,Raleigh County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,387,386,374,341,333,381,410,268,269,267,271,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,243,305,305,179,187,166,155
COALFIELD ELEMENTARY SCHOOL,WEST VIRGINIA,5401630,Coalfield Elementary School,McDowell County,43-Rural: Remote,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COALTON ELEMENTARY SCHOOL,West Virginia,5400993,Coalton Elementary School,Randolph County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,156,161,163,148,146,150,139,149,148,168,163,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,71,70,70,94,58,70,54
COLLIERS PRIMARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,153,171,181,198,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,94,59,89,94
COMPASS VIRTUAL ACADEMY,WEST VIRGINIA,5401629,Compass Virtual Academy,Mercer County,32-Town: Distant,†,†,†,†,†,†,†,†,†,†,42,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†
CONFIDENCE ELEMENTARY SCHOOL,West Virginia,5400920,Confidence Elementary School,Putnam County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,102,106,104,114,99,139,151,182,173,174,169,–,–,–,–,–,–,–,–,72,77,56,–,–,–,–,–,–,–,–,8,17,19,–,–,–,–,54,86,86,92,80,94,75
CONNER STREET ELEMENTARY SCHOOL,West Virginia,5400921,Conner Street Elementary School,Putnam County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,292,337,357,359,342,370,361,371,385,368,391,–,–,–,–,–,–,–,–,169,161,162,–,–,–,–,–,–,–,–,33,30,36,–,–,–,–,173,225,225,225,202,191,198
COTTAGEVILLE ELEMENTARY SCHOOL,West Virginia,5400326,Cottageville Elementary School,Jackson County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,161,159,164,151,148,139,141,147,138,142,132,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78,82,82,90,60,84,68
COX LANDING ELEMENTARY SCHOOL,West Virginia,5400097,Cox Landing Elementary School,Cabell County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,206,211,225,211,191,193,186,196,197,204,208,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,99,103,103,123,86,97,92
CRAB ORCHARD ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,†,†,†,†,290,300,310,314,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,135,151,141,104
CRAIGSVILLE ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CRANBERRY-PROSPERITY ELEMENTARY,West Virginia,5400949,Cranberry-Prosperity Elementary,Raleigh County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,272,246,257,239,246,257,247,261,249,243,266,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,154,155,155,177,142,135,136
CREED COLLINS ELEMENTARY,West Virginia,5401018,Creed Collins Elementary,Ritchie County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,211,204,214,215,194,214,208,215,215,223,234,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,120,128,128,137,109,109,104
CRESCENT ELEMENTARY,West Virginia,5400950,Crescent Elementary,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,304,292,323,335,342,381,362,374,362,372,354,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,162,169,169,202,155,148,119
CRICHTON ELEMENTARY,West Virginia,5400227,Crichton Elementary,Greenbrier County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,91,87,96,84,87,95,104,92,92,96,106,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,59,70,70,67,59,59,65
CRISS ELEMENTARY SCHOOL,West Virginia,5401147,Criss Elementary School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,267,258,247,258,253,267,263,272,279,281,286,–,–,–,–,–,–,–,–,127,131,122,–,–,–,–,–,–,–,–,11,22,18,–,–,–,–,123,129,129,152,138,153,140
CROSS LANES ELEMENTARY SCHOOL,West Virginia,5400378,Cross Lanes Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,294,303,309,295,337,336,330,340,339,365,350,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,175,134,134,150,138,160,151
CROSSROADS ACADEMY,West Virginia,5400884,Crossroads Academy,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,43,57,79,28,31,58,35,52,37,26,37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24,25,25,41,28,19,21
CRUM ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,†,†,†,†,†,†,†,†,205,204,216,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,110,133,131
CRUM MIDDLE SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,†,†,†,†,†,†,†,†,108,109,119,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,53,72,62
CRUM PRE K-8 SCHOOL,WEST VIRGINIA,5401579,Crum Pre K-8 School,Wayne County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,†,†,†,236,219,228,236,274,285,281,305,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,–,–,–,–,–,–,–,†,†,†,–,–,–,–,182,190,190,208,†,†,†
CULLODEN ELEMENTARY SCHOOL,West Virginia,5400099,Culloden Elementary School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,194,204,212,212,223,210,203,241,211,201,192,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,85,81,81,140,67,72,76
DANIELS ELEMENTARY,West Virginia,5400951,Daniels Elementary,Raleigh County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,510,540,562,571,532,599,616,603,627,646,638,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,250,290,290,263,254,240,181
DAVIS CREEK ELEMENTARY SCHOOL,West Virginia,5400100,Davis Creek Elementary School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,235,216,214,197,217,237,260,277,277,253,269,–,–,–,–,–,–,–,–,–,78,75,–,–,–,–,–,–,–,–,–,17,24,–,–,–,–,67,86,86,107,62,95,99
DAVIS ELEMENTARY SCHOOL,West Virginia,5400064,Davis Elementary School,Braxton County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,147,151,152,170,172,220,205,215,210,211,221,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,95,125,125,133,93,121,111
DAVIS THOMAS ELEMENTARY MIDDLE SCHOOL,West Virginia,5401067,Davis Thomas Elementary Middle School,Tucker County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,189,194,205,196,180,189,211,213,200,206,212,–,–,–,–,–,–,–,–,104,117,107,–,–,–,–,–,–,–,–,20,12,19,–,–,–,–,68,115,115,141,124,129,126
DAVIS-STUART SCHOOL,West Virginia,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,17,6,0,†,–,36,34,34,†,†,†,–,‡,–,–,–,29,31,31,†,†,†,–,‡,–,–,–,0,0,0,†,†,†,–,‡,11,11,–,29,31,31
DAYBROOK EARLY HEADSTART CENTER(CLSD 97),West Virginia,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,118,109,113,0,0,0,†,†,†,†,†,–,–,–,–,†,0,†,†,†,†,†,–,–,–,–,†,0,†,†,†,†,†,44,44,109,–,†,0
DENMAR CORRECTIONAL CENTER - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
DIANA ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,†,43-Rural: Remote,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
