ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
ANAWALT ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,0,56,61,80,93,104,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,34,34,49,50,59,67
ANDREW JACKSON MIDDLE SCHOOL,West Virginia,5400355,Andrew Jackson Middle School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,488,494,512,593,614,590,564,586,584,597,622,–,–,–,–,–,–,–,–,230,253,236,–,–,–,–,–,–,–,–,29,27,36,–,–,–,–,291,237,237,259,259,280,272
ANDREWS HEIGHTS ELEMENTARY SCHOOL,West Virginia,5400356,Andrews Heights Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,233,261,263,261,285,308,317,298,312,305,299,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,158,174,174,148,139,142,135
ANNA JARVIS ELEMENTARY SCHOOL,West Virginia,5401050,Anna Jarvis Elementary School,Taylor County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,461,477,503,526,515,572,611,637,630,639,609,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,263,344,344,417,304,312,299
ANNE BAILEY ELEMENTARY SCHOOL,West Virginia,5400357,Anne Bailey Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,221,199,217,242,236,252,267,276,289,285,289,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,188,206,206,221,185,207,191
ANSTED ELEMENTARY,West Virginia,5400167,Ansted Elementary,Fayette County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,178,195,190,200,214,221,220,225,245,234,266,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,125,129,129,158,112,116,111
ANSTED MIDDLE,West Virginia,†,†,†,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,244,267,274,253,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,180,95,113,78
ANTHONY CENTER,West Virginia,†,†,†,†,†,†,†,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,†,†,†,†,†,†,0,†,–,0,1,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,10,10,–,–,–,†
ARNOLDSBURG SCHOOL,West Virginia,5400139,Arnoldsburg School,Calhoun County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,139,156,164,164,180,210,228,225,236,240,226,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79,103,103,148,105,118,80
ARTHUR I BOREMAN ELEMENTARY SCHOOL,West Virginia,5401068,Arthur I Boreman Elementary School,Tyler County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,273,279,318,309,288,323,346,355,331,343,341,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,145,160,160,215,137,145,128
