ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
EMERSON ELEMENTARY SCHOOL,West Virginia,5401149,5401149,5401149,5401149,5401149,5401149,5401149,5401149,5401149,5401149,5401149,Emerson Elementary School,Wood County Schools,Wood County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:10 ,39.287659,39.287659,39.287659,39.287659,39.287659,39.287659,39.287659,39.287659,39.287659,39.287593,39.287593,-81.528664,-81.528664,-81.528664,-81.528664,-81.528664,-81.528664,-81.528664,-81.528664,-81.528664,-81.528427,-81.528427
EVANS ELEMENTARY SCHOOL,West Virginia,5400328,5400328,5400328,5400328,5400328,5400328,5400328,5400328,5400328,5400328,5400328,Evans Elementary School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:58 ,38.822316,38.822316,38.822316,38.822316,38.822316,38.822316,38.822316,38.822316,38.821870,38.821870,38.821870,-81.783376,-81.783376,-81.783376,-81.783376,-81.783376,-81.783376,-81.783376,-81.783376,-81.782390,-81.782390,-81.782390
EVOLUTION HIGH SCHOOL,West Virginia,5401469,5401469,5401469,5401469,5401469,5401469,5401469,5401469,5401469,5401469,5401469,Evolution High School,Harrison County Schools,Harrison County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,27AUG2015:16:20:32 ,39.293442,39.293442,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,-80.397126,-80.397126,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468
EVOLUTION MIDDLE SCHOOL,WEST VIRGINIA,5401514,5401514,5401514,5401514,5401514,5401514,5401514,5401514,5401514,5401514,5401514,Evolution Middle School,Harrison County Schools,Harrison County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,10/26/16           ,26AUG2015:14:53:55 ,39.293442,39.293442,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,39.310069,39.310065,39.310065,-80.397126,-80.397126,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355468,-80.355348,-80.355348
EXCEL CENTER,WEST VIRGINIA,5401620,5401620,†,†,†,†,†,†,†,†,†,EXCEL Center,Monongalia County Schools,Monongalia County,3-New,7-Future,†,†,†,†,†,†,†,†,†,3-New,7-Future,†,†,†,†,†,†,†,†,†,07/30/2025         ,07/31/2024         ,†,†,†,†,†,†,†,†,†,39.639713,39.639713,†,†,†,†,†,†,†,†,†,-80.033020,-80.033020,†,†,†,†,†,†,†,†,†
EXPLORER ACADEMY,WEST VIRGINIA,5401517,5401517,5401517,5401517,5401517,5401517,5401517,5401517,5401517,5401517,5401517,Explorer Academy,Cabell County Schools,Cabell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,26AUG2015:14:53:52 ,38.407548,38.407548,38.407548,38.407548,38.407548,38.407548,38.407548,38.407548,38.403421,38.403421,†,-82.391615,-82.391615,-82.391615,-82.391615,-82.391615,-82.391615,-82.391615,-82.391615,-82.386373,-82.386373,†
FAIRDALE ELEMENTARY SCHOOL,West Virginia,5400954,5400954,5400954,5400954,5400954,5400954,5400954,5400954,5400954,5400954,5400954,Fairdale Elementary School,Raleigh County Schools,Raleigh County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:06 ,37.782959,37.782959,37.782959,37.782959,37.782959,37.782959,37.782959,37.782959,37.782959,37.781034,37.781034,-81.366987,-81.366987,-81.366987,-81.366987,-81.366987,-81.366987,-81.366987,-81.366987,-81.366987,-81.366523,-81.366523
FAIRMONT SENIOR HIGH SCHOOL,West Virginia,5400553,5400553,5400553,5400553,5400553,5400553,5400553,5400553,5400553,5400553,5400553,Fairmont Senior High School,Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:17 ,39.478311,39.478311,39.478311,39.478311,39.478311,39.478311,39.478311,39.478311,39.470085,39.470085,39.470085,-80.157350,-80.157350,-80.157350,-80.157350,-80.157350,-80.157350,-80.157350,-80.157350,-80.150590,-80.150590,-80.150590
FAIRPLAIN ELEMENTARY SCHOOL,West Virginia,5400329,5400329,5400329,5400329,5400329,5400329,5400329,5400329,5400329,5400329,5400329,Fairplain Elementary School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:59 ,38.744796,38.744796,38.744796,38.744796,38.744796,38.744796,38.744796,38.744796,38.744796,38.744718,38.807063,-81.681959,-81.681959,-81.681959,-81.681959,-81.681959,-81.681959,-81.681959,-81.681959,-81.681959,-81.682582,-81.705540
FAIRPLAINS ELEMENTARY SCHOOL,West Virginia,5401150,5401150,5401150,5401150,5401150,5401150,5401150,5401150,5401150,5401150,5401150,Fairplains Elementary School,Wood County Schools,Wood County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:10 ,39.244271,39.244271,39.244271,39.244271,39.244271,39.244271,39.244271,39.244271,39.244271,39.244028,39.244028,-81.532150,-81.532150,-81.532150,-81.532150,-81.532150,-81.532150,-81.532150,-81.532150,-81.532150,-81.532340,-81.532340
FAIRVIEW ELEMENTARY SCHOOL,West Virginia,5400554,5400554,5400554,5400554,5400554,5400554,5400554,5400554,5400554,5400554,5400554,Fairview Elementary School,Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:10 ,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,39.593949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949,-80.247949
FAIRVIEW MIDDLE SCHOOL,West Virginia,5401281,5401281,5401281,5401281,5401281,5401281,5401281,5401281,5401281,5401281,5401281,Fairview Middle School,Marion County Schools,Marion County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:13 ,39.592332,39.592332,39.592332,39.592332,39.592332,39.592332,39.592332,39.592332,39.590150,39.590150,39.590150,-80.252764,-80.252764,-80.252764,-80.252764,-80.252764,-80.252764,-80.252764,-80.252764,-80.256050,-80.256050,-80.256050
FALL RIVER ELEMENTARY SCHOOL,West Virginia,5401248,5401248,5401248,5401248,5401248,5401248,5401248,5401248,5401248,5401248,5401248,Fall River Elementary School,McDowell County Schools,McDowell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:17 ,37.458040,37.458040,37.458040,37.458040,37.458040,37.458040,37.458040,37.458040,37.458040,37.458040,37.459707,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.704458,-81.699636
FAYETTE INSTITUTE OF TECHNOLOGY,West Virginia,5401380,5401380,5401380,5401380,5401380,5401380,5401380,5401380,5401380,5401380,5401380,Fayette Institute of Technology,Fayette County Schools,Fayette County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:05 ,37.988618,37.988618,37.988618,37.988618,37.988618,37.988618,37.988618,37.988618,37.988618,37.988823,37.988823,-81.147063,-81.147063,-81.147063,-81.147063,-81.147063,-81.147063,-81.147063,-81.147063,-81.147063,-81.147623,-81.147623
FAYETTEVILLE ELEMENTARY,West Virginia,†,†,†,†,†,5400179,5400179,5400179,5400179,5400179,5400179,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:57 ,†,†,†,†,†,38.052469,38.052469,38.052469,38.052469,38.052124,38.052124,†,†,†,†,†,-81.106234,-81.106234,-81.106234,-81.106234,-81.105379,-81.105379
FAYETTEVILLE HIGH,West Virginia,†,†,†,†,†,5400180,5400180,5400180,5400180,5400180,5400180,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:03 ,†,†,†,†,†,38.045379,38.045379,38.045379,38.045379,38.044990,38.044990,†,†,†,†,†,-81.113682,-81.113682,-81.113682,-81.113682,-81.113377,-81.113377
FAYETTEVILLE PK-8,WEST VIRGINIA,5401595,5401595,5401595,5401595,5401595,5401595,5401595,†,†,†,†,Fayetteville PK-8,Fayette County Schools,Fayette County,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,7-Future,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,7-Future,†,†,†,†,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,†,†,†,†,38.045379,38.045379,38.045379,38.045379,38.045379,38.045379,38.045379,†,†,†,†,-81.113682,-81.113682,-81.113682,-81.113682,-81.113682,-81.113682,-81.113682,†,†,†,†
FELLOWSVILLE ELEMENTARY,West Virginia,5400905,5400905,5400905,5400905,5400905,5400905,5400905,5400905,5400905,5400905,5400905,Fellowsville Elementary,Preston County Schools,Preston County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:46 ,39.329613,39.329613,39.329613,39.329613,39.329613,39.329613,39.329613,39.329613,39.329610,39.329610,39.329658,-79.822869,-79.822869,-79.822869,-79.822869,-79.822869,-79.822869,-79.822869,-79.822869,-79.822861,-79.822861,-79.823057
FLATWOODS ELEMENTARY SCHOOL,West Virginia,5400065,5400065,5400065,5400065,5400065,5400065,5400065,5400065,5400065,5400065,5400065,Flatwoods Elementary School,Braxton County Schools,Braxton County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,24FEB2015:13:31:37 ,38.720311,38.720311,38.720311,38.720311,38.720311,38.720311,38.720311,38.720311,38.720311,38.720120,38.720118,-80.655153,-80.655153,-80.655153,-80.655153,-80.655153,-80.655153,-80.655153,-80.655153,-80.655153,-80.655615,-80.655616
FLEMINGTON ELEMENTARY SCHOOL,West Virginia,5401051,5401051,5401051,5401051,5401051,5401051,5401051,5401051,5401051,5401051,5401051,Flemington Elementary School,Taylor County Schools,Taylor County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:36 ,39.266916,39.266916,39.266916,39.266916,39.266916,39.266916,39.266916,39.266916,39.266916,39.266953,39.266922,-80.118619,-80.118619,-80.118619,-80.118619,-80.118619,-80.118619,-80.118619,-80.118619,-80.118619,-80.093221,-80.118957
FLINN ELEMENTARY SCHOOL,West Virginia,5400393,5400393,5400393,5400393,5400393,5400393,5400393,5400393,5400393,5400393,5400393,Flinn Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:21 ,38.480513,38.480513,38.480513,38.480513,38.480513,38.480513,38.480513,38.480513,38.480513,38.482106,38.482106,-81.670927,-81.670927,-81.670927,-81.670927,-81.670927,-81.670927,-81.670927,-81.670927,-81.670927,-81.669806,-81.669806
FOLLANSBEE MIDDLE SCHOOL,West Virginia,†,†,†,†,†,†,†,5400080,5400080,5400080,5400080,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:32 ,†,†,†,†,†,†,†,40.335488,40.335488,40.338162,40.338162,†,†,†,†,†,†,†,-80.595324,-80.595324,-80.594677,-80.594677
FORT ASHBY PRIMARY SCHOOL,West Virginia,†,5400715,5400715,5400715,5400715,5400715,5400715,5400715,5400715,5400715,5400715,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:46 ,†,39.505156,39.505156,39.505156,39.505156,39.505156,39.505156,39.505156,39.508589,39.508589,39.508589,†,-78.764602,-78.764602,-78.764602,-78.764602,-78.764602,-78.764602,-78.764602,-78.757626,-78.757626,-78.757626
FORT GAY ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,5401102,†,†,†,†,†,†,†,†,†,†,†,†,†,2-Closed,†,†,†,†,†,†,†,†,†,†,2-Closed,†,†,†,†,†,†,†,†,†,†,19FEB2015:10:17:51 ,†,†,†,†,†,†,†,†,†,†,38.116572,†,†,†,†,†,†,†,†,†,†,-82.591027
FORT GAY MIDDLE SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,5401434,†,†,†,†,†,†,†,†,†,†,†,†,†,2-Closed,†,†,†,†,†,†,†,†,†,†,2-Closed,†,†,†,†,†,†,†,†,†,†,19FEB2015:10:17:56 ,†,†,†,†,†,†,†,†,†,†,38.116913,†,†,†,†,†,†,†,†,†,†,-82.593587
FORT GAY PRE K-8,West Virginia,5401495,5401495,5401495,5401495,5401495,5401495,5401495,5401495,5401495,5401495,5401495,Fort Gay Pre K-8,Wayne County Schools,Wayne County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:48 ,38.114682,38.114682,38.114682,38.114682,38.114682,38.114682,38.114682,38.114682,38.114682,38.117418,38.117418,-82.591493,-82.591493,-82.591493,-82.591493,-82.591493,-82.591493,-82.591493,-82.591493,-82.591493,-82.592402,-82.592402
FOUNTAIN PRIMARY SCHOOL,West Virginia,5400716,5400716,5400716,5400716,5400716,5400716,5400716,5400716,5400716,5400716,5400716,Fountain Primary School,Mineral County Schools,Mineral County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:47 ,39.420995,39.420995,39.420995,39.420995,39.420995,39.420995,39.420995,39.420995,39.420926,39.422378,39.421027,-78.936924,-78.936924,-78.936924,-78.936924,-78.936924,-78.936924,-78.936924,-78.936924,-78.936904,-78.937513,-78.937027
FRAMETOWN ELEMENTARY SCHOOL,West Virginia,5400066,5400066,5400066,5400066,5400066,5400066,5400066,5400066,5400066,5400066,5400066,Frametown Elementary School,Braxton County Schools,Braxton County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:26 ,38.638171,38.638171,38.638171,38.638171,38.638171,38.638171,38.638171,38.638171,38.638171,38.638171,38.637958,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786,-80.853786
FRANKFORD ELEMENTARY,West Virginia,5400229,5400229,5400229,5400229,5400229,5400229,5400229,5400229,5400229,5400229,5400229,Frankford Elementary,Greenbrier County Schools,Greenbrier County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:14 ,37.927597,37.927597,37.927597,37.927597,37.927597,37.927597,37.927597,37.927597,37.927597,37.929581,37.927894,-80.383390,-80.383390,-80.383390,-80.383390,-80.383390,-80.383390,-80.383390,-80.383390,-80.383390,-80.384978,-80.383987
FRANKFORT ELEMENTARY SCHOOL,WEST VIRGINIA,5401619,5401619,†,†,†,†,†,†,†,†,†,Frankfort Elementary School,Mineral County Schools,Mineral County,3-New,7-Future,†,†,†,†,†,†,†,†,†,3-New,7-Future,†,†,†,†,†,†,†,†,†,07/30/2025         ,07/31/2024         ,†,†,†,†,†,†,†,†,†,39.543213,39.543213,†,†,†,†,†,†,†,†,†,-78.802156,-78.802156,†,†,†,†,†,†,†,†,†
FRANKFORT HIGH SCHOOL,West Virginia,5400717,5400717,5400717,5400717,5400717,5400717,5400717,5400717,5400717,5400717,5400717,Frankfort High School,Mineral County Schools,Mineral County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:50 ,39.548168,39.548168,39.548168,39.548168,39.548168,39.548168,39.548168,39.548168,39.548168,39.548168,39.544000,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.803476,-78.810800
FRANKFORT INTERMEDIATE SCHOOL,West Virginia,†,5400747,5400747,5400747,5400747,5400747,5400747,5400747,5400747,5400747,5400747,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:50 ,†,39.508345,39.508345,39.508345,39.508345,39.508345,39.508345,39.508345,39.505084,39.505084,39.505225,†,-78.757521,-78.757521,-78.757521,-78.757521,-78.757521,-78.757521,-78.757521,-78.764652,-78.764652,-78.764159
