ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
ANAWALT ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,5400633,5400633,5400633,5400633,5400633,5400633,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:16 ,†,†,†,†,†,37.329443,37.329443,37.329443,37.329443,37.329443,37.329334,†,†,†,†,†,-81.436266,-81.436266,-81.436266,-81.436266,-81.436266,-81.436644
ANDREW JACKSON MIDDLE SCHOOL,West Virginia,5400355,5400355,5400355,5400355,5400355,5400355,5400355,5400355,5400355,5400355,5400355,Andrew Jackson Middle School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:38 ,38.425991,38.425991,38.425991,38.425991,38.425991,38.425991,38.425991,38.425991,38.425991,38.427041,38.427041,-81.783003,-81.783003,-81.783003,-81.783003,-81.783003,-81.783003,-81.783003,-81.783003,-81.783003,-81.782937,-81.782937
ANDREWS HEIGHTS ELEMENTARY SCHOOL,West Virginia,5400356,5400356,5400356,5400356,5400356,5400356,5400356,5400356,5400356,5400356,5400356,Andrews Heights Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:15 ,38.344064,38.344064,38.344064,38.344064,38.344064,38.344064,38.344064,38.344064,38.344050,38.344050,38.343975,-81.846511,-81.846511,-81.846511,-81.846511,-81.846511,-81.846511,-81.846511,-81.846511,-81.846451,-81.846451,-81.846749
ANNA JARVIS ELEMENTARY SCHOOL,West Virginia,5401050,5401050,5401050,5401050,5401050,5401050,5401050,5401050,5401050,5401050,5401050,Anna Jarvis Elementary School,Taylor County Schools,Taylor County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:36 ,39.347532,39.347532,39.347532,39.347532,39.347532,39.347532,39.347532,39.347532,39.343939,39.343953,39.343953,-80.018992,-80.018992,-80.018992,-80.018992,-80.018992,-80.018992,-80.018992,-80.018992,-80.026402,-80.026212,-80.026212
ANNE BAILEY ELEMENTARY SCHOOL,West Virginia,5400357,5400357,5400357,5400357,5400357,5400357,5400357,5400357,5400357,5400357,5400357,Anne Bailey Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:15 ,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,38.400734,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968,-81.856968
ANSTED ELEMENTARY,West Virginia,5400167,5400167,5400167,5400167,5400167,5400167,5400167,5400167,5400167,5400167,5400167,Ansted Elementary,Fayette County Schools,Fayette County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:56 ,38.134850,38.134850,38.134850,38.134850,38.134850,38.134850,38.134850,38.134850,38.134850,38.134850,38.133884,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.091541,-81.096058
ANSTED MIDDLE,West Virginia,†,†,†,†,†,†,†,5400168,5400168,5400168,5400168,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:02 ,†,†,†,†,†,†,†,38.133336,38.133336,38.133884,38.133884,†,†,†,†,†,†,†,-81.095855,-81.095855,-81.096058,-81.096058
ANTHONY CENTER,West Virginia,†,†,†,†,5400118,5400118,5400118,5400118,5400118,5400118,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,†,†,†,†,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,†,†,†,†,†,37.963229,37.963257,37.963257,37.963257,37.962884,37.962884,†,†,†,†,†,-80.127199,-80.127195,-80.127195,-80.127195,-80.127034,-80.127034,†
ARNOLDSBURG SCHOOL,West Virginia,5400139,5400139,5400139,5400139,5400139,5400139,5400139,5400139,5400139,5400139,5400139,Arnoldsburg School,Calhoun County Schools,Calhoun County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:49 ,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,38.788045,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799,-81.131799
ARTHUR I BOREMAN ELEMENTARY SCHOOL,West Virginia,5401068,5401068,5401068,5401068,5401068,5401068,5401068,5401068,5401068,5401068,5401068,Arthur I Boreman Elementary School,Tyler County Schools,Tyler County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:41 ,39.475752,39.475752,39.475752,39.475752,39.475752,39.475752,39.475752,39.475752,39.475752,39.475752,39.493603,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.858988,-80.907522
